생년월일,성별,등급,차 종,구매한 제품,구매 날짜,금액,거래 방식,구매 횟수,구매 경로,주소
1966-07-01,여,신규, 중형 suv,Santa-Fe ™,2024-10-03,"34,920,000",신용카드,1,오프라인,경상남도 창원시 의창구 봉곡동
1974-01-02,남,일반,준중형 suv,Tucson (NX4 PHEV),2024-02-27,"39,500,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1972-06-01,남,일반,준대형 세단,Grandeur (GN7 HEV),2023-05-07,"52,410,000",신용카드,1,오프라인,경상북도 포항시 남구 대도동
1988-03-06,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-08-15,"52,410,000",신용카드,1,오프라인,부산광역시 해운대구 우동
1984-05-06,남,일반,중형 세단,G70 (IK),2024-01-15,"50,230,000",신용카드,1,오프라인,경기도 성남시 분당구 정자동
1987-02-03,남,vip,대형 세단,G90 (RS4),2024-12-16,"134,370,000",신용카드,5,오프라인,서울특별시 종로구 청운동
1989-04-03,남,일반, 중형 suv,Santa-Fe ™,2024-09-25,"34,920,000",신용카드,3,오프라인,광주광역시 서구 치평동
1972-05-02,여,일반,준중형 해치백,IONIQ (AE EV),2025-01-11,"44,400,000",신용카드,2,오프라인,전라북도 전주시 완산구 덕진동
1971-06-04,여,일반,준대형 세단,Grandeur (GN7 HEV),2024-04-22,"52,410,000",신용카드,2,오프라인,경기도 성남시 분당구 정자동
1975-02-04,남,일반,준중형 suv,Tucson (NX4 PHEV),2023-07-08,"39,500,000",신용카드,1,오프라인,충청북도 청주시 상당구 낙실동
1996-05-02,남,일반,준대형 세단,Grandeur (GN7 HEV),2023-08-19,"52,410,000",신용카드,1,오프라인,경상북도 포항시 남구 대도동
1985-04-02,남,일반,준대형 suv,Palisade (LX2),2024-05-16,"59,460,000",신용카드,1,오프라인,서울특별시 강남구 역삼동
2001-04-06,여,일반,준중형 세단,Avante (CN7 N),2024-09-11,"35,170,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1983-02-04,남,일반,준중형 해치백,i30 (PD),2024-07-28,"25,560,000",신용카드,1,오프라인,경기도 수원시 영통구 원천동
1962-05-06,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-12-25,"52,410,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1999-07-07,여,일반,준중형 해치백,i30 (PD),2024-11-18,"25,560,000",신용카드,2,오프라인,충청남도 천안시 동남구 성성동
1992-04-05,남,일반,준중형 해치백,IONIQ (AE EV),2024-01-16,"44,400,000",신용카드,1,온라인,울산광역시 남구 달동
1977-05-02,남,일반,준대형 suv,Palisade (LX2),2024-06-28,"59,460,000",신용카드,1,오프라인,경기도 성남시 분당구 정자동
1966-03-02,남,일반,준중형 세단,Avante (CN7 N),2025-01-11,"35,170,000",신용카드,1,오프라인,경기도 성남시 분당구 정자동
1978-09-05,남,일반,준중형 해치백,i30 (PD),2023-04-25,"25,560,000",신용카드,1,오프라인,충청남도 천안시 동남구 성성동
1975-03-05,여,일반,준중형 해치백,IONIQ (AE EV),2024-06-02,"44,400,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1997-08-01,여,일반, 중형 suv,Santa-Fe ™,2024-07-08,"34,920,000",신용카드,1,오프라인,충청북도 청주시 상당구 낙실동
1994-12-01,남,일반,준중형 해치백,i30 (PD),2024-02-22,"25,560,000",신용카드,1,오프라인,부산광역시 해운대구 우동
1999-06-02,남,일반,준대형 suv,Palisade (LX2),2023-09-30,"59,460,000",신용카드,2,온라인,울산광역시 남구 달동
1970-03-09,남,일반,준대형 세단,Grandeur (GN7 HEV),2023-03-03,"52,410,000",신용카드,1,오프라인,인천광역시 남동구 구월동
1980-11-10,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-07-08,"52,410,000",신용카드,1,온라인,경상북도 포항시 남구 대도동
1960-03-12,남,일반,준대형 세단,Avante (CN7 N),2023-05-04,"82,080,000",신용카드,2,오프라인,부산광역시 해운대구 우동
1959-11-17,여,일반,중형 suv,Santa-Fe ™,2024-07-04,"72,110,000",신용카드,1,온라인,경기도 수원시 영통구 원천동
1980-11-09,남,일반,대형 suv,G80 (RG3),2024-01-07,"38,660,000",신용카드,1,온라인,충청남도 천안시 동남구 성성동
1996-12-13,남,이탈가능,준중형 세단,Santa-Fe ™,2024-07-04,"37,700,000",현금,5,온라인,울산광역시 남구 달동
1994-06-26,남,일반,준대형 세단,Avante (CN7 N),2023-05-22,"79,860,000",신용카드,1,오프라인,대구광역시 수성구 범어동
1987-01-09,남,일반,준중형 세단,NEXO (FE),2023-06-17,"49,930,000",계좌이체,4,오프라인,경상북도 포항시 남구 대도동
1976-01-24,여,vip,대형 suv,NEXO (FE),2023-08-27,"54,910,000",현금,4,온라인,경기도 성남시 분당구 정자동
1998-01-27,남,신규,대형 suv,Avante (CN7 N),2023-09-19,"53,760,000",현금,2,오프라인,경상북도 포항시 남구 대도동
1974-04-23,남,vip,중형 suv,G70 (IK),2023-05-22,"57,450,000",계좌이체,1,온라인,울산광역시 남구 달동
1956-02-25,남,신규,픽업트럭,Santa-Fe ™,2024-11-28,"75,020,000",현금,5,오프라인,인천광역시 남동구 구월동
1980-04-09,여,vip,대형 suv,Santa-Fe ™,2024-06-03,"68,050,000",계좌이체,2,오프라인,경기도 수원시 영통구 원천동
1980-12-19,여,일반,중형 suv,Santa-Fe ™,2025-02-13,"89,190,000",계좌이체,2,오프라인,울산광역시 남구 달동
1967-03-24,여,이탈가능,중형 suv,Avante (CN7 N),2023-04-05,"88,480,000",신용카드,1,온라인,대전광역시 유성구 봉명동
1977-11-10,여,신규,준중형 세단,NEXO (FE),2024-04-17,"65,090,000",계좌이체,2,온라인,전라북도 전주시 완산구 덕진동
1962-07-02,남,이탈가능,픽업트럭,Santa-Fe ™,2025-02-13,"76,580,000",신용카드,5,온라인,대구광역시 수성구 범어동
2005-03-04,여,신규,소형 해치백,G70 (IK),2024-08-31,"57,120,000",계좌이체,5,온라인,서울특별시 종로구 청운동
1985-06-07,남,vip,준대형 세단,G80 (RG3),2023-12-11,"60,270,000",현금,2,온라인,대전광역시 유성구 봉명동
1965-07-21,남,일반,소형 해치백,NEXO (FE),2023-06-07,"43,120,000",현금,1,오프라인,충청남도 천안시 동남구 성성동
1972-09-24,남,일반,준대형 세단,Avante (CN7 N),2024-04-16,"77,400,000",현금,1,오프라인,대구광역시 수성구 범어동
1999-03-22,남,신규,준중형 세단,NEXO (FE),2024-02-11,"67,120,000",현금,1,온라인,충청남도 천안시 동남구 성성동
1961-05-05,여,이탈가능,소형 해치백,G70 (IK),2023-04-15,"50,710,000",계좌이체,3,오프라인,대구광역시 수성구 범어동
1954-03-13,남,일반,준대형 세단,G70 (IK),2024-12-19,"87,880,000",계좌이체,4,오프라인,충청남도 천안시 동남구 성성동
2002-09-24,여,일반,대형 suv,Avante (CN7 N),2024-06-26,"79,830,000",현금,4,오프라인,전라북도 전주시 완산구 덕진동
1984-07-29,남,이탈가능,준대형 세단,G70 (IK),2023-05-15,"79,370,000",신용카드,2,오프라인,경기도 수원시 영통구 원천동
1978-02-13,여,신규,대형 suv,G80 (RG3),2023-12-09,"40,770,000",현금,3,온라인,충청북도 청주시 상당구 낙실동
2001-04-12,여,vip,대형 suv,G70 (IK),2024-10-12,"60,710,000",계좌이체,4,오프라인,부산광역시 해운대구 우동
1975-06-29,남,신규,준대형 세단,NEXO (FE),2024-09-02,"37,420,000",계좌이체,2,온라인,서울특별시 종로구 청운동
1973-09-17,남,신규,중형 suv,G70 (IK),2023-07-20,"71,520,000",현금,5,오프라인,경상남도 창원시 의창구 봉곡동
2004-03-16,여,이탈가능,중형 suv,Avante (CN7 N),2023-08-26,"34,130,000",계좌이체,5,온라인,충청남도 천안시 동남구 성성동
1957-10-24,남,신규,대형 suv,Santa-Fe ™,2023-09-16,"76,700,000",계좌이체,4,오프라인,대구광역시 수성구 범어동
1958-05-01,남,vip,준중형 세단,G80 (RG3),2024-06-07,"57,710,000",신용카드,3,오프라인,경상북도 포항시 남구 대도동
1987-04-06,남,이탈가능,대형 suv,Santa-Fe ™,2023-09-30,"89,020,000",현금,3,오프라인,부산광역시 해운대구 우동
1975-08-30,남,신규,중형 suv,Santa-Fe ™,2023-03-18,"89,450,000",현금,1,온라인,전라북도 전주시 완산구 덕진동
1985-04-07,남,일반,픽업트럭,Avante (CN7 N),2023-07-07,"66,280,000",신용카드,5,온라인,경기도 수원시 영통구 원천동
1970-01-26,여,신규,중형 suv,NEXO (FE),2023-12-19,"33,070,000",신용카드,3,오프라인,대전광역시 유성구 봉명동
1977-01-22,남,이탈가능,준대형 세단,NEXO (FE),2024-01-08,"49,550,000",현금,2,온라인,대구광역시 수성구 범어동
1963-02-13,남,이탈가능,픽업트럭,Avante (CN7 N),2024-08-07,"36,020,000",신용카드,3,오프라인,전라남도 목포시 부주동
1997-04-15,남,일반,준중형 세단,G80 (RG3),2025-01-03,"64,440,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1954-06-08,남,이탈가능,준대형 세단,G80 (RG3),2024-09-18,"43,750,000",신용카드,2,온라인,경상남도 창원시 의창구 봉곡동
1994-01-04,여,이탈가능,준대형 세단,NEXO (FE),2024-04-04,"79,430,000",계좌이체,2,오프라인,서울특별시 종로구 청운동
1958-06-02,남,일반,소형 해치백,G70 (IK),2023-10-12,"47,210,000",계좌이체,5,온라인,광주광역시 서구 치평동
1972-06-26,여,이탈가능,대형 suv,Santa-Fe ™,2023-11-29,"85,590,000",신용카드,5,온라인,서울특별시 강남구 역삼동
1977-04-04,여,vip,픽업트럭,G70 (IK),2024-09-20,"71,210,000",신용카드,2,온라인,울산광역시 남구 달동
1976-06-08,남,일반,중형 suv,G80 (RG3),2025-02-08,"89,790,000",계좌이체,2,오프라인,광주광역시 서구 치평동
1985-12-18,여,vip,소형 해치백,G80 (RG3),2024-11-03,"83,120,000",신용카드,2,오프라인,부산광역시 해운대구 우동
1982-09-08,남,vip,픽업트럭,G80 (RG3),2024-11-28,"81,900,000",현금,5,온라인,충청북도 청주시 상당구 낙실동
1997-09-02,남,vip,중형 suv,Santa-Fe ™,2023-07-13,"62,020,000",신용카드,4,온라인,광주광역시 서구 치평동
1997-06-02,여,신규,픽업트럭,G80 (RG3),2023-07-07,"79,780,000",신용카드,4,오프라인,광주광역시 서구 치평동
1971-03-05,남,일반,소형 해치백,NEXO (FE),2025-02-21,"79,430,000",계좌이체,3,오프라인,울산광역시 남구 달동
1956-02-23,여,일반,준대형 세단,Santa-Fe ™,2025-02-23,"30,270,000",현금,3,오프라인,서울특별시 종로구 청운동
1986-02-12,남,이탈가능,준대형 세단,Avante (CN7 N),2024-08-14,"32,780,000",계좌이체,5,오프라인,부산광역시 해운대구 우동
1963-11-23,여,vip,중형 suv,Santa-Fe ™,2023-12-27,"49,320,000",신용카드,2,오프라인,충청북도 청주시 상당구 낙실동
2000-03-31,남,이탈가능,중형 suv,G80 (RG3),2024-11-05,"76,660,000",신용카드,4,온라인,인천광역시 남동구 구월동
1983-12-18,남,이탈가능,준대형 세단,G70 (IK),2024-07-01,"85,860,000",계좌이체,2,오프라인,경기도 성남시 분당구 정자동
1988-04-18,남,이탈가능,소형 해치백,Avante (CN7 N),2024-01-23,"88,130,000",신용카드,5,오프라인,인천광역시 남동구 구월동
1975-03-27,여,vip,준대형 세단,Santa-Fe ™,2023-10-01,"79,770,000",신용카드,2,온라인,경기도 수원시 영통구 원천동
1984-05-24,남,신규,중형 suv,G80 (RG3),2025-02-05,"74,040,000",현금,1,온라인,광주광역시 서구 치평동
1999-11-25,남,일반,준중형 세단,Santa-Fe ™,2024-11-04,"54,940,000",신용카드,2,오프라인,경상북도 포항시 남구 대도동
1987-11-12,여,일반,중형 suv,NEXO (FE),2024-01-16,"72,840,000",계좌이체,2,온라인,충청남도 천안시 동남구 성성동
1977-06-26,남,일반,중형 suv,G80 (RG3),2023-06-18,"57,850,000",현금,1,온라인,광주광역시 서구 치평동
1987-05-31,남,신규,픽업트럭,NEXO (FE),2023-08-16,"57,310,000",신용카드,2,오프라인,울산광역시 남구 달동
1981-08-17,남,신규,준대형 세단,Avante (CN7 N),2024-11-30,"45,700,000",현금,4,온라인,대구광역시 수성구 범어동
1991-07-10,남,vip,준중형 세단,Santa-Fe ™,2024-12-05,"41,850,000",신용카드,2,온라인,경상남도 창원시 의창구 봉곡동
1994-04-30,여,일반,중형 suv,G70 (IK),2024-11-18,"87,840,000",계좌이체,1,오프라인,대전광역시 유성구 봉명동
1980-02-20,남,일반,준중형 세단,Avante (CN7 N),2024-08-31,"84,100,000",계좌이체,3,오프라인,부산광역시 해운대구 우동
1989-05-27,여,일반,대형 suv,NEXO (FE),2023-04-27,"82,050,000",신용카드,5,온라인,경상북도 포항시 남구 대도동
1969-11-21,여,이탈가능,중형 suv,G70 (IK),2023-08-19,"60,860,000",신용카드,5,온라인,경기도 수원시 영통구 원천동
1966-09-01,여,vip,중형 suv,Santa-Fe ™,2023-05-29,"71,220,000",현금,4,온라인,대전광역시 유성구 봉명동
1966-11-27,남,이탈가능,준대형 세단,G70 (IK),2024-03-21,"33,690,000",계좌이체,4,오프라인,대구광역시 수성구 범어동
1981-02-16,여,신규,픽업트럭,NEXO (FE),2025-01-31,"37,190,000",계좌이체,4,온라인,울산광역시 남구 달동
1996-12-16,남,신규,픽업트럭,G70 (IK),2024-12-06,"36,260,000",계좌이체,5,온라인,인천광역시 남동구 구월동
1999-04-19,여,vip,소형 해치백,Santa-Fe ™,2023-04-22,"55,710,000",신용카드,2,오프라인,서울특별시 강남구 역삼동
1980-03-19,여,일반,소형 해치백,G70 (IK),2023-04-22,"59,060,000",계좌이체,1,온라인,대전광역시 유성구 봉명동
1975-12-16,여,vip,픽업트럭,G70 (IK),2024-12-11,"37,480,000",현금,5,온라인,울산광역시 남구 달동
1974-12-16,여,신규,픽업트럭,NEXO (FE),2023-09-28,"39,150,000",신용카드,4,온라인,부산광역시 해운대구 우동
2000-09-21,남,이탈가능,중형 suv,Avante (CN7 N),2023-12-04,"77,130,000",현금,1,오프라인,경상남도 창원시 의창구 봉곡동
1964-02-21,남,일반,준대형 세단,Santa-Fe ™,2024-08-09,"56,480,000",현금,5,오프라인,울산광역시 남구 달동
1956-12-27,여,신규,픽업트럭,Santa-Fe ™,2024-07-02,"80,170,000",현금,4,온라인,경기도 수원시 영통구 원천동
1966-12-07,남,신규,픽업트럭,Avante (CN7 N),2023-04-28,"66,410,000",현금,1,온라인,서울특별시 강남구 역삼동
1975-12-10,여,신규,픽업트럭,Santa-Fe ™,2024-10-15,"57,200,000",신용카드,5,온라인,경상남도 창원시 의창구 봉곡동
1970-11-29,여,일반,준중형 세단,NEXO (FE),2024-01-30,"67,180,000",계좌이체,2,오프라인,대구광역시 수성구 범어동
1975-06-05,남,신규,소형 해치백,Santa-Fe ™,2025-03-06,"41,600,000",계좌이체,5,오프라인,대전광역시 유성구 봉명동
1999-06-12,남,신규,픽업트럭,G70 (IK),2024-10-14,"30,670,000",현금,5,온라인,광주광역시 서구 치평동
1968-06-11,남,신규,픽업트럭,Santa-Fe ™,2023-08-09,"70,970,000",현금,3,온라인,부산광역시 해운대구 우동
2002-12-16,여,이탈가능,대형 suv,Santa-Fe ™,2025-02-16,"64,360,000",계좌이체,4,온라인,서울특별시 강남구 역삼동
1985-12-09,여,이탈가능,준대형 세단,NEXO (FE),2025-01-10,"36,230,000",계좌이체,5,온라인,경상북도 포항시 남구 대도동
1964-09-11,여,일반,대형 suv,Santa-Fe ™,2023-04-25,"73,410,000",계좌이체,2,오프라인,서울특별시 강남구 역삼동
1960-12-31,남,일반,소형 해치백,Avante (CN7 N),2023-08-23,"73,150,000",신용카드,5,오프라인,대구광역시 수성구 범어동
1999-09-27,남,신규,준대형 세단,G70 (IK),2023-08-02,"62,270,000",현금,3,온라인,인천광역시 남동구 구월동
1978-06-04,남,신규,소형 해치백,G80 (RG3),2024-07-06,"37,090,000",현금,2,오프라인,충청북도 청주시 상당구 낙실동
1983-06-25,여,신규,중형 suv,NEXO (FE),2024-08-21,"43,760,000",계좌이체,4,오프라인,인천광역시 남동구 구월동
1974-10-29,남,일반,소형 해치백,Santa-Fe ™,2024-03-23,"35,610,000",계좌이체,2,오프라인,인천광역시 남동구 구월동
1972-09-22,남,일반,준중형 세단,NEXO (FE),2024-03-25,"44,550,000",현금,4,오프라인,충청북도 청주시 상당구 낙실동
1973-03-28,남,vip,대형 suv,Avante (CN7 N),2023-10-10,"61,350,000",신용카드,5,온라인,대전광역시 유성구 봉명동
1958-10-02,남,이탈가능,준대형 세단,NEXO (FE),2023-06-02,"69,890,000",계좌이체,2,온라인,충청북도 청주시 상당구 낙실동
1955-12-04,여,vip,소형 해치백,G70 (IK),2023-11-12,"30,220,000",현금,1,오프라인,충청남도 천안시 동남구 성성동
1996-10-26,여,신규,대형 suv,NEXO (FE),2023-11-30,"57,580,000",현금,3,오프라인,울산광역시 남구 달동
1959-04-25,여,이탈가능,준중형 세단,G80 (RG3),2023-06-08,"62,700,000",신용카드,2,오프라인,경상남도 창원시 의창구 봉곡동
1992-01-31,여,vip,준대형 세단,Avante (CN7 N),2023-09-23,"68,630,000",현금,5,온라인,인천광역시 남동구 구월동
2003-03-08,남,신규,픽업트럭,NEXO (FE),2023-08-10,"85,970,000",신용카드,3,온라인,충청북도 청주시 상당구 낙실동
1996-02-24,남,일반,중형 suv,NEXO (FE),2024-09-17,"63,570,000",현금,1,온라인,경상북도 포항시 남구 대도동
1969-07-24,남,일반,소형 해치백,Avante (CN7 N),2023-11-02,"32,550,000",현금,3,오프라인,부산광역시 해운대구 우동
1984-12-28,여,vip,중형 suv,Avante (CN7 N),2024-09-27,"38,140,000",신용카드,5,오프라인,경기도 수원시 영통구 원천동
1957-03-08,여,vip,픽업트럭,G70 (IK),2024-10-18,"88,650,000",신용카드,5,오프라인,전라남도 목포시 부주동
1958-07-27,남,일반,소형 해치백,Avante (CN7 N),2024-04-22,"47,730,000",신용카드,3,온라인,전라북도 전주시 완산구 덕진동
1988-01-21,남,일반,준대형 세단,Avante (CN7 N),2023-12-28,"88,470,000",신용카드,1,온라인,경기도 수원시 영통구 원천동
1982-09-28,여,vip,준대형 세단,G70 (IK),2024-01-29,"83,840,000",현금,3,오프라인,경기도 성남시 분당구 정자동
2000-11-20,남,vip,준대형 세단,NEXO (FE),2023-11-26,"58,930,000",신용카드,1,온라인,광주광역시 서구 치평동
1971-03-27,남,vip,준중형 세단,G70 (IK),2024-01-01,"67,480,000",현금,5,오프라인,울산광역시 남구 달동
1988-10-08,남,신규,픽업트럭,Santa-Fe ™,2023-10-12,"66,300,000",현금,4,온라인,울산광역시 남구 달동
1998-04-21,남,신규,소형 해치백,Santa-Fe ™,2023-11-03,"70,510,000",현금,1,온라인,충청북도 청주시 상당구 낙실동
2002-11-12,여,일반,준대형 세단,Santa-Fe ™,2024-09-20,"67,020,000",현금,1,온라인,서울특별시 강남구 역삼동
1962-11-22,여,이탈가능,준대형 세단,G70 (IK),2023-12-21,"68,300,000",신용카드,4,온라인,서울특별시 종로구 청운동
1956-05-07,여,일반,픽업트럭,G70 (IK),2023-03-14,"42,060,000",현금,5,온라인,광주광역시 서구 치평동
2001-04-07,여,일반,소형 해치백,Avante (CN7 N),2024-01-01,"36,550,000",신용카드,3,오프라인,대전광역시 유성구 봉명동
1981-02-03,남,신규,중형 suv,Santa-Fe ™,2025-01-20,"84,370,000",계좌이체,2,오프라인,전라남도 목포시 부주동
1994-10-15,남,일반,대형 suv,G80 (RG3),2023-10-13,"54,340,000",현금,2,온라인,대구광역시 수성구 범어동
1982-09-28,남,vip,준대형 세단,NEXO (FE),2024-07-26,"39,760,000",신용카드,1,온라인,대전광역시 유성구 봉명동
1985-07-24,남,일반,준중형 세단,G80 (RG3),2023-12-15,"48,800,000",계좌이체,1,오프라인,충청북도 청주시 상당구 낙실동
1968-12-19,남,이탈가능,중형 suv,Avante (CN7 N),2024-07-21,"79,230,000",계좌이체,2,온라인,경기도 성남시 분당구 정자동
1997-08-25,남,일반,대형 suv,NEXO (FE),2024-05-16,"38,860,000",현금,3,온라인,경상북도 포항시 남구 대도동
1985-05-11,여,일반,준중형 세단,Avante (CN7 N),2023-09-25,"53,910,000",계좌이체,3,온라인,대구광역시 수성구 범어동
2000-07-04,남,신규,픽업트럭,G80 (RG3),2023-03-27,"38,900,000",신용카드,1,온라인,경기도 수원시 영통구 원천동
1958-09-02,남,이탈가능,대형 suv,NEXO (FE),2023-12-25,"72,930,000",계좌이체,1,오프라인,전라남도 목포시 부주동
1997-01-22,여,신규,준대형 세단,Avante (CN7 N),2023-10-20,"55,370,000",계좌이체,3,오프라인,충청남도 천안시 동남구 성성동
1976-06-02,남,이탈가능,중형 suv,NEXO (FE),2023-11-29,"65,540,000",계좌이체,2,오프라인,서울특별시 종로구 청운동
1956-03-06,여,신규,준대형 세단,NEXO (FE),2025-01-31,"46,520,000",현금,5,오프라인,충청북도 청주시 상당구 낙실동
1989-10-30,여,신규,준대형 세단,G70 (IK),2024-01-19,"77,710,000",현금,1,온라인,경기도 성남시 분당구 정자동
1987-02-22,남,신규,준대형 세단,NEXO (FE),2023-04-22,"51,200,000",계좌이체,2,오프라인,경기도 수원시 영통구 원천동
1963-10-11,남,신규,준중형 세단,G70 (IK),2024-11-11,"79,370,000",계좌이체,1,오프라인,서울특별시 강남구 역삼동
1971-07-20,여,vip,소형 해치백,Avante (CN7 N),2023-10-08,"68,370,000",계좌이체,4,오프라인,경상북도 포항시 남구 대도동
1968-07-06,남,vip,픽업트럭,NEXO (FE),2024-12-28,"64,060,000",신용카드,5,오프라인,광주광역시 서구 치평동
1969-08-16,여,이탈가능,대형 suv,G70 (IK),2023-05-21,"48,970,000",계좌이체,5,오프라인,전라남도 목포시 부주동
1963-12-25,남,일반,소형 해치백,G80 (RG3),2024-05-23,"72,510,000",현금,4,오프라인,경상남도 창원시 의창구 봉곡동
1976-10-26,남,vip,대형 suv,NEXO (FE),2024-05-25,"31,010,000",계좌이체,4,오프라인,전라남도 목포시 부주동
1966-01-01,여,vip,대형 suv,G70 (IK),2023-10-12,"35,130,000",현금,4,온라인,서울특별시 강남구 역삼동
1954-07-31,여,이탈가능,준대형 세단,G70 (IK),2024-10-29,"81,810,000",신용카드,4,온라인,부산광역시 해운대구 우동
1989-03-12,남,일반,준대형 세단,NEXO (FE),2023-12-05,"36,540,000",신용카드,3,온라인,부산광역시 해운대구 우동
1985-06-25,여,이탈가능,소형 해치백,Santa-Fe ™,2024-03-02,"49,740,000",계좌이체,5,오프라인,대구광역시 수성구 범어동
1955-01-05,남,vip,소형 해치백,Santa-Fe ™,2024-04-25,"89,890,000",신용카드,5,오프라인,광주광역시 서구 치평동
1978-05-30,남,일반,중형 suv,G70 (IK),2023-12-11,"72,730,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1962-04-15,남,이탈가능,대형 suv,Avante (CN7 N),2025-01-11,"34,880,000",현금,2,오프라인,경기도 수원시 영통구 원천동
1982-02-17,여,vip,준중형 세단,Avante (CN7 N),2024-07-17,"54,290,000",신용카드,4,오프라인,대전광역시 유성구 봉명동
1964-11-10,여,이탈가능,대형 suv,Avante (CN7 N),2024-10-14,"72,600,000",계좌이체,1,온라인,부산광역시 해운대구 우동
1971-02-07,여,일반,준대형 세단,NEXO (FE),2024-02-20,"73,080,000",현금,4,온라인,울산광역시 남구 달동
1999-07-28,여,vip,준중형 세단,Santa-Fe ™,2024-07-25,"75,840,000",신용카드,4,온라인,인천광역시 남동구 구월동
1999-01-19,여,일반,대형 suv,G70 (IK),2024-07-16,"76,370,000",현금,3,오프라인,서울특별시 강남구 역삼동
1957-08-08,남,신규,준중형 세단,G80 (RG3),2024-05-18,"59,640,000",계좌이체,2,온라인,충청남도 천안시 동남구 성성동
1969-01-04,남,이탈가능,준대형 세단,G70 (IK),2023-08-07,"83,300,000",계좌이체,2,온라인,서울특별시 종로구 청운동
1972-04-13,여,일반,소형 해치백,G80 (RG3),2023-11-03,"53,260,000",현금,5,온라인,대구광역시 수성구 범어동
1959-10-02,남,일반,픽업트럭,G80 (RG3),2024-10-16,"89,120,000",현금,4,오프라인,충청북도 청주시 상당구 낙실동
1956-10-06,남,vip,중형 suv,Santa-Fe ™,2023-12-28,"48,390,000",신용카드,2,온라인,전라남도 목포시 부주동
1974-10-18,남,vip,중형 suv,NEXO (FE),2024-01-11,"36,880,000",신용카드,3,온라인,대구광역시 수성구 범어동
1988-05-29,남,이탈가능,소형 해치백,Santa-Fe ™,2025-02-28,"89,440,000",현금,1,온라인,울산광역시 남구 달동
1973-09-24,남,신규,중형 suv,G70 (IK),2025-03-05,"73,020,000",계좌이체,2,온라인,경기도 수원시 영통구 원천동
1990-01-15,남,vip,소형 해치백,Avante (CN7 N),2024-05-16,"42,530,000",신용카드,1,온라인,광주광역시 서구 치평동
1986-03-05,남,일반,소형 해치백,G80 (RG3),2025-02-17,"68,170,000",현금,1,오프라인,인천광역시 남동구 구월동
1962-03-29,남,신규,소형 해치백,Santa-Fe ™,2024-10-07,"63,320,000",계좌이체,5,오프라인,인천광역시 남동구 구월동
2001-12-02,여,일반,대형 suv,G70 (IK),2023-05-09,"83,360,000",현금,5,온라인,경기도 수원시 영통구 원천동
1964-07-21,여,vip,준중형 세단,G70 (IK),2023-10-08,"38,190,000",계좌이체,2,오프라인,충청남도 천안시 동남구 성성동
