생년월일,성별,등급,차 종,구매한 제품,구매 날짜,금액,거래 방식,구매 횟수,구매 경로,주소,나이,연령대,구매 시즌,고객 등급 점수,브랜드,차급,최근 구매 고객,누적 구매 금액,평균 구매 금액,구매 요일,지역 카테고리,고객 충성도 지수,할부 여부,마지막 구매 이후 기간,구매 주기,구매 요일 카테고리,고객 평생 가치
1990-11-24,여,vip,대형 세단,G90 (HI),2024-12-03,99670000,2,5,0,경상남도 창원시 의창구 봉곡동,35,26~35세,겨울,3,제네시스,대형,True,99670000,58702308,1,경상남도,0.314,1,3.333,0.0,평일,31284197
1988-05-07,여,일반, 중형 suv,Santa-Fe (MX5 PHEV),2023-07-07,45980000,3,2,0,전라북도 전주시 완산구 덕진동,37,36~50세,여름,2,현대,,True,45980000,60225714,4,전라북도,0.058,1,20.5,0.0,평일,2663140
1997-08-05,남,일반,준중형 세단,Avante (CN7 N),2025-01-02,35170000,2,1,0,충청북도 청주시 상당구 낙실동,28,26~35세,겨울,2,현대,소형,True,35170000,56854783,3,충청북도,0.022,0,2.333,0.0,평일,779060
1996-01-02,여,일반, 중형 suv,Santa-Fe ™,2024-02-03,34920000,2,2,0,광주광역시 서구 치평동,29,26~35세,겨울,2,현대,,True,120710000,60506667,5,광주광역시,0.152,0,13.467,-12.43,주말,18354501
1980-02-04,남,일반,준중형 세단,Avante (CN7 N),2023-08-07,35170000,1,3,0,경기도 성남시 분당구 정자동,45,36~50세,여름,2,현대,소형,True,35170000,58401053,0,경기도,0.066,0,19.467,0.0,평일,2337180
1985-01-07,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-05-06,52410000,1,1,0,울산광역시 남구 달동,40,36~50세,봄,2,현대,중형,True,102640000,60935000,0,울산광역시,0.065,1,10.367,15.33,평일,6635282
1966-07-01,여,신규, 중형 suv,Santa-Fe ™,2024-10-03,34920000,1,1,0,경상남도 창원시 의창구 봉곡동,59,51~65세,가을,1,현대,,True,134590000,58702308,3,경상남도,0.085,0,5.367,-2.03,평일,11409107
1974-01-02,남,일반,준중형 suv,Tucson (NX4 PHEV),2024-02-27,39500000,1,1,0,서울특별시 종로구 청운동,51,51~65세,겨울,2,기아,SUV,True,129150000,56644400,1,서울특별시,0.081,0,12.667,-1.3,평일,10505456
1972-06-01,남,일반,준대형 세단,Grandeur (GN7 HEV),2023-05-07,52410000,1,1,0,경상북도 포항시 남구 대도동,53,51~65세,봄,2,현대,중형,True,52410000,56614375,6,경상북도,0.033,1,22.533,0.0,주말,1730033
1988-03-06,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-08-15,52410000,1,1,0,부산광역시 해운대구 우동,37,36~50세,여름,2,현대,중형,True,121910000,56399524,3,부산광역시,0.077,1,7.0,-6.9,평일,9360623
1984-05-06,남,일반,중형 세단,G70 (IK),2024-01-15,50230000,1,1,0,경기도 성남시 분당구 정자동,41,36~50세,겨울,2,제네시스,중형,True,85400000,58401053,0,경기도,0.054,1,14.1,5.37,평일,4593480
1987-02-03,남,vip,대형 세단,G90 (RS4),2024-12-16,134370000,1,5,0,서울특별시 종로구 청운동,38,36~50세,겨울,3,제네시스,대형,True,263520000,56644400,0,서울특별시,0.83,1,2.9,9.77,평일,218687144
1989-04-03,남,일반, 중형 suv,Santa-Fe ™,2024-09-25,34920000,1,3,0,광주광역시 서구 치평동,36,36~50세,가을,2,현대,,True,155630000,60506667,2,광주광역시,0.294,0,5.633,7.83,평일,45765053
1972-05-02,여,일반,준중형 해치백,IONIQ (AE EV),2025-01-11,44400000,1,2,0,전라북도 전주시 완산구 덕진동,53,51~65세,겨울,2,기타,,True,90380000,60225714,5,전라북도,0.114,1,2.033,18.47,주말,10289654
1971-06-04,여,일반,준대형 세단,Grandeur (GN7 HEV),2024-04-22,52410000,1,2,0,경기도 성남시 분당구 정자동,54,51~65세,봄,2,현대,중형,True,137810000,58401053,0,경기도,0.174,1,10.833,3.27,평일,23923105
1975-02-04,남,일반,준중형 suv,Tucson (NX4 PHEV),2023-07-08,39500000,1,1,0,충청북도 청주시 상당구 낙실동,50,36~50세,여름,2,기아,SUV,True,74670000,56854783,5,충청북도,0.047,0,20.467,-18.13,주말,3511708
1996-05-02,남,일반,준대형 세단,Grandeur (GN7 HEV),2023-08-19,52410000,1,1,0,경상북도 포항시 남구 대도동,29,26~35세,여름,2,현대,중형,True,104820000,56614375,5,경상북도,0.066,1,19.067,3.47,주말,6920132
1985-04-02,남,일반,준대형 suv,Palisade (LX2),2024-05-16,59460000,1,1,0,서울특별시 강남구 역삼동,40,36~50세,봄,2,기타,,True,59460000,63893125,3,서울특별시,0.037,1,10.033,0.0,평일,2226773
2001-04-06,여,일반,준중형 세단,Avante (CN7 N),2024-09-11,35170000,1,1,0,서울특별시 종로구 청운동,24,20대 이하,가을,2,현대,소형,True,298690000,56644400,2,서울특별시,0.188,0,6.1,-3.2,평일,56191089
1983-02-04,남,일반,준중형 해치백,i30 (PD),2024-07-28,25560000,1,1,0,경기도 수원시 영통구 원천동,42,36~50세,여름,2,기타,,True,120190000,61066154,6,경기도,0.076,0,7.6,12.53,주말,9098352
1962-05-06,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-12-25,52410000,1,1,0,서울특별시 종로구 청운동,63,51~65세,겨울,2,현대,중형,True,351100000,56644400,2,서울특별시,0.221,1,2.6,3.5,평일,77640396
1999-07-07,여,일반,준중형 해치백,i30 (PD),2024-11-18,25560000,1,2,0,충청남도 천안시 동남구 성성동,26,26~35세,가을,2,기타,,True,25560000,48790714,0,충청남도,0.032,0,3.833,0.0,평일,822958
1992-04-05,남,일반,준중형 해치백,IONIQ (AE EV),2024-01-16,44400000,1,1,1,울산광역시 남구 달동,33,26~35세,겨울,2,기타,,True,147040000,60935000,1,울산광역시,0.093,1,14.067,-3.7,평일,13617490
1977-05-02,남,일반,준대형 suv,Palisade (LX2),2024-06-28,59460000,1,1,0,경기도 성남시 분당구 정자동,48,36~50세,여름,2,기타,,True,197270000,58401053,4,경기도,0.124,1,8.6,2.23,평일,24510274
1966-03-02,남,일반,준중형 세단,Avante (CN7 N),2025-01-11,35170000,1,1,0,경기도 성남시 분당구 정자동,59,51~65세,겨울,2,현대,소형,True,232440000,58401053,5,경기도,0.146,0,2.033,6.57,주말,34028893
1978-09-05,남,일반,준중형 해치백,i30 (PD),2023-04-25,25560000,1,1,0,충청남도 천안시 동남구 성성동,47,36~50세,봄,2,기타,,True,51120000,48790714,1,충청남도,0.032,0,22.933,-19.1,평일,1645916
1975-03-05,여,일반,준중형 해치백,IONIQ (AE EV),2024-06-02,44400000,1,1,0,서울특별시 종로구 청운동,50,36~50세,여름,2,기타,,True,395500000,56644400,6,서울특별시,0.249,1,9.467,-6.87,주말,98518788
1997-08-01,여,일반, 중형 suv,Santa-Fe ™,2024-07-08,34920000,1,1,0,충청북도 청주시 상당구 낙실동,28,26~35세,여름,2,현대,,True,109590000,56854783,0,충청북도,0.069,0,8.267,12.2,평일,7564286
1994-12-01,남,일반,준중형 해치백,i30 (PD),2024-02-22,25560000,1,1,0,부산광역시 해운대구 우동,31,26~35세,겨울,2,기타,,True,147470000,56399524,3,부산광역시,0.093,0,12.833,-5.83,평일,13697252
1999-06-02,남,일반,준대형 suv,Palisade (LX2),2023-09-30,59460000,1,2,1,울산광역시 남구 달동,26,26~35세,가을,2,기타,,True,206500000,60935000,5,울산광역시,0.26,1,17.667,-3.6,주말,53715076
1970-03-09,남,일반,준대형 세단,Grandeur (GN7 HEV),2023-03-03,52410000,1,1,0,인천광역시 남동구 구월동,55,51~65세,봄,2,현대,중형,True,131980000,58025294,4,인천광역시,0.083,1,24.7,1.97,평일,10970902
1980-11-10,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-07-08,52410000,1,1,1,경상북도 포항시 남구 대도동,45,36~50세,여름,2,현대,중형,True,157230000,56614375,0,경상북도,0.099,1,8.267,10.8,평일,15570298
1960-03-12,남,일반,준대형 세단,Avante (CN7 N),2023-05-04,82080000,1,2,0,부산광역시 해운대구 우동,65,51~65세,봄,2,현대,중형,True,229550000,56399524,3,부산광역시,0.289,1,22.633,-9.8,평일,66375938
1959-11-17,여,일반,중형 suv,Santa-Fe ™,2024-07-04,72110000,1,1,1,경기도 수원시 영통구 원천동,66,66세 이상,여름,2,현대,SUV,True,192300000,61066154,3,경기도,0.121,1,8.4,-0.8,평일,23290813
1980-11-09,남,일반,대형 suv,G80 (RG3),2024-01-07,38660000,1,1,1,충청남도 천안시 동남구 성성동,45,36~50세,겨울,2,제네시스,SUV,True,89780000,48790714,6,충청남도,0.057,0,14.367,8.57,주말,5076744
1996-12-13,남,이탈가능,준중형 세단,Santa-Fe ™,2024-07-04,37700000,3,5,1,울산광역시 남구 달동,29,26~35세,여름,0,현대,소형,True,244200000,60935000,3,울산광역시,0.769,0,8.4,9.27,평일,187796463
1994-06-26,남,일반,준대형 세단,Avante (CN7 N),2023-05-22,79860000,1,1,0,대구광역시 수성구 범어동,31,26~35세,봄,2,현대,중형,True,79860000,58729444,0,대구광역시,0.05,1,22.033,0.0,평일,4016842
1987-01-09,남,일반,준중형 세단,NEXO (FE),2023-06-17,49930000,2,4,0,경상북도 포항시 남구 대도동,38,36~50세,여름,2,기아,소형,True,207160000,56614375,5,경상북도,0.522,1,21.167,-12.9,주말,108117969
1976-01-24,여,vip,대형 suv,NEXO (FE),2023-08-27,54910000,3,4,1,경기도 성남시 분당구 정자동,49,36~50세,여름,3,기아,SUV,True,287350000,58401053,6,경기도,0.724,1,18.8,-16.77,주말,208021622
1998-01-27,남,신규,대형 suv,Avante (CN7 N),2023-09-19,53760000,3,2,0,경상북도 포항시 남구 대도동,27,26~35세,가을,1,현대,SUV,True,260920000,56614375,1,경상북도,0.329,1,18.033,3.13,평일,85757245
1974-04-23,남,vip,중형 suv,G70 (IK),2023-05-22,57450000,2,1,1,울산광역시 남구 달동,51,51~65세,봄,3,제네시스,SUV,True,301650000,60935000,0,울산광역시,0.19,1,22.033,-13.63,평일,57310308
1956-02-25,남,신규,픽업트럭,Santa-Fe ™,2024-11-28,75020000,3,5,0,인천광역시 남동구 구월동,69,66세 이상,가을,1,현대,트럭,True,207000000,58025294,3,인천광역시,0.652,1,3.5,21.2,평일,134938780
1980-04-09,여,vip,대형 suv,Santa-Fe ™,2024-06-03,68050000,2,2,0,경기도 수원시 영통구 원천동,45,36~50세,여름,3,현대,SUV,True,260350000,61066154,0,경기도,0.328,1,9.433,-1.03,평일,85382967
1980-12-19,여,일반,중형 suv,Santa-Fe ™,2025-02-13,89190000,2,2,0,울산광역시 남구 달동,45,36~50세,겨울,2,현대,SUV,True,390840000,60935000,3,울산광역시,0.492,1,0.933,21.1,평일,192421719
1967-03-24,여,이탈가능,중형 suv,Avante (CN7 N),2023-04-05,88480000,1,1,1,대전광역시 유성구 봉명동,58,51~65세,봄,0,현대,SUV,True,88480000,56525385,2,대전광역시,0.056,1,23.6,0.0,평일,4930788
1977-11-10,여,신규,준중형 세단,NEXO (FE),2024-04-17,65090000,2,2,1,전라북도 전주시 완산구 덕진동,48,36~50세,봄,1,기아,소형,True,155470000,60225714,2,전라북도,0.196,1,11.0,-8.97,평일,30447334
1962-07-02,남,이탈가능,픽업트럭,Santa-Fe ™,2025-02-13,76580000,1,5,1,대구광역시 수성구 범어동,63,51~65세,겨울,0,현대,트럭,True,156440000,58729444,3,대구광역시,0.493,1,0.933,21.1,평일,77071126
2005-03-04,여,신규,소형 해치백,G70 (IK),2024-08-31,57120000,2,5,1,서울특별시 종로구 청운동,20,20대 이하,여름,1,제네시스,소형,True,452620000,56644400,5,서울특별시,1.425,1,6.467,3.0,주말,645154260
1985-06-07,남,vip,준대형 세단,G80 (RG3),2023-12-11,60270000,3,2,1,대전광역시 유성구 봉명동,40,36~50세,겨울,3,제네시스,중형,True,148750000,56525385,0,대전광역시,0.187,1,15.267,8.33,평일,27872122
1965-07-21,남,일반,소형 해치백,NEXO (FE),2023-06-07,43120000,3,1,0,충청남도 천안시 동남구 성성동,60,51~65세,여름,2,기아,소형,True,132900000,48790714,2,충청남도,0.084,1,21.5,-7.13,평일,11124386
1972-09-24,남,일반,준대형 세단,Avante (CN7 N),2024-04-16,77400000,3,1,0,대구광역시 수성구 범어동,53,51~65세,봄,2,현대,중형,True,233840000,58729444,1,대구광역시,0.147,1,11.033,-10.1,평일,34440043
1999-03-22,남,신규,준중형 세단,NEXO (FE),2024-02-11,67120000,3,1,1,충청남도 천안시 동남구 성성동,26,26~35세,겨울,1,기아,소형,True,200020000,48790714,6,충청남도,0.126,1,13.2,8.3,주말,25198398
1961-05-05,여,이탈가능,소형 해치백,G70 (IK),2023-04-15,50710000,2,3,0,대구광역시 수성구 범어동,64,51~65세,봄,0,제네시스,소형,True,284550000,58729444,5,대구광역시,0.538,1,23.267,-12.23,주말,152990519
1954-03-13,남,일반,준대형 세단,G70 (IK),2024-12-19,87880000,2,4,0,충청남도 천안시 동남구 성성동,71,66세 이상,겨울,2,제네시스,중형,True,287900000,48790714,3,충청남도,0.725,1,2.8,10.4,평일,208818709
2002-09-24,여,일반,대형 suv,Avante (CN7 N),2024-06-26,79830000,3,4,0,전라북도 전주시 완산구 덕진동,23,20대 이하,여름,2,현대,SUV,True,235300000,60225714,2,전라북도,0.593,1,8.667,2.33,평일,139485778
1984-07-29,남,이탈가능,준대형 세단,G70 (IK),2023-05-15,79370000,1,2,0,경기도 수원시 영통구 원천동,41,36~50세,봄,0,제네시스,중형,True,339720000,61066154,0,경기도,0.428,1,22.267,-12.83,평일,145377873
1978-02-13,여,신규,대형 suv,G80 (RG3),2023-12-09,40770000,3,3,1,충청북도 청주시 상당구 낙실동,47,36~50세,겨울,1,제네시스,SUV,True,150360000,56854783,5,충청북도,0.284,1,15.333,-7.07,주말,42718104
2001-04-12,여,vip,대형 suv,G70 (IK),2024-10-12,60710000,2,4,0,부산광역시 해운대구 우동,24,20대 이하,가을,3,제네시스,SUV,True,290260000,56399524,5,부산광역시,0.731,1,5.067,17.57,주말,212256236
1975-06-29,남,신규,준대형 세단,NEXO (FE),2024-09-02,37420000,2,2,1,서울특별시 종로구 청운동,50,36~50세,가을,1,기아,중형,True,490040000,56644400,0,서울특별시,0.617,0,6.4,0.07,평일,302495656
1973-09-17,남,신규,중형 suv,G70 (IK),2023-07-20,71520000,3,5,0,경상남도 창원시 의창구 봉곡동,52,51~65세,여름,1,제네시스,SUV,True,206110000,58702308,3,경상남도,0.649,1,20.067,-14.7,평일,133780931
2004-03-16,여,이탈가능,중형 suv,Avante (CN7 N),2023-08-26,34130000,2,5,1,충청남도 천안시 동남구 성성동,21,20대 이하,여름,0,현대,SUV,True,322030000,48790714,5,충청남도,1.014,0,18.833,-16.03,주말,326579375
1957-10-24,남,신규,대형 suv,Santa-Fe ™,2023-09-16,76700000,2,4,0,대구광역시 수성구 범어동,68,66세 이상,가을,1,현대,SUV,True,361250000,58729444,5,대구광역시,0.91,1,18.133,5.13,주말,328777272
1958-05-01,남,vip,준중형 세단,G80 (RG3),2024-06-07,57710000,1,3,0,경상북도 포항시 남구 대도동,67,66세 이상,여름,3,제네시스,소형,True,318630000,56614375,4,경상북도,0.602,1,9.3,8.73,평일,191831828
1987-04-06,남,이탈가능,대형 suv,Santa-Fe ™,2023-09-30,89020000,3,3,0,부산광역시 해운대구 우동,38,36~50세,가을,0,현대,SUV,True,379280000,56399524,5,부산광역시,0.717,1,17.667,-12.6,주말,271811122
1975-08-30,남,신규,중형 suv,Santa-Fe ™,2023-03-18,89450000,3,1,1,전라북도 전주시 완산구 덕진동,50,36~50세,봄,1,현대,SUV,True,324750000,60225714,5,전라북도,0.205,1,24.2,-15.53,주말,66423905
1985-04-07,남,일반,픽업트럭,Avante (CN7 N),2023-07-07,66280000,1,5,1,경기도 수원시 영통구 원천동,40,36~50세,여름,2,현대,트럭,True,406000000,61066154,4,경기도,1.279,1,20.5,1.77,평일,519096566
1970-01-26,여,신규,중형 suv,NEXO (FE),2023-12-19,33070000,1,3,0,대전광역시 유성구 봉명동,55,51~65세,겨울,1,기아,SUV,True,181820000,56525385,1,대전광역시,0.344,0,15.0,0.27,평일,62464123
1977-01-22,남,이탈가능,준대형 세단,NEXO (FE),2024-01-08,49550000,3,2,1,대구광역시 수성구 범어동,48,36~50세,겨울,0,기아,중형,True,410800000,58729444,0,대구광역시,0.517,1,14.333,3.8,평일,212577331
1963-02-13,남,이탈가능,픽업트럭,Avante (CN7 N),2024-08-07,36020000,1,3,0,전라남도 목포시 부주동,62,51~65세,여름,0,현대,트럭,True,70940000,60148462,2,전라남도,0.134,0,7.267,15.47,평일,9508887
1997-04-15,남,일반,준중형 세단,G80 (RG3),2025-01-03,64440000,1,1,0,서울특별시 종로구 청운동,28,26~35세,겨울,2,제네시스,소형,True,554480000,56644400,4,서울특별시,0.349,1,2.3,4.1,평일,193641241
1954-06-08,남,이탈가능,준대형 세단,G80 (RG3),2024-09-18,43750000,1,2,1,경상남도 창원시 의창구 봉곡동,71,66세 이상,가을,0,제네시스,중형,True,249860000,58702308,2,경상남도,0.315,1,5.867,14.2,평일,78641095
1994-01-04,여,이탈가능,준대형 세단,NEXO (FE),2024-04-04,79430000,2,2,0,서울특별시 종로구 청운동,31,26~35세,봄,0,기아,중형,True,633910000,56644400,3,서울특별시,0.799,1,11.433,-9.13,평일,506187348
1958-06-02,남,일반,소형 해치백,G70 (IK),2023-10-12,47210000,2,5,1,광주광역시 서구 치평동,67,66세 이상,가을,2,제네시스,소형,True,202840000,60506667,3,광주광역시,0.639,1,17.267,-11.63,평일,129569652
1972-06-26,여,이탈가능,대형 suv,Santa-Fe ™,2023-11-29,85590000,1,5,1,서울특별시 강남구 역삼동,53,51~65세,가을,0,현대,SUV,True,145050000,63893125,2,서울특별시,0.457,1,15.667,-5.63,평일,66256968
1977-04-04,여,vip,픽업트럭,G70 (IK),2024-09-20,71210000,1,2,1,울산광역시 남구 달동,48,36~50세,가을,3,제네시스,트럭,True,462050000,60935000,4,울산광역시,0.582,1,5.8,-4.87,평일,268926766
1976-06-08,남,일반,중형 suv,G80 (RG3),2025-02-08,89790000,2,2,0,광주광역시 서구 치평동,49,36~50세,겨울,2,제네시스,SUV,True,292630000,60506667,5,광주광역시,0.369,1,1.1,16.17,주말,107868285
1985-12-18,여,vip,소형 해치백,G80 (RG3),2024-11-03,83120000,1,2,0,부산광역시 해운대구 우동,40,36~50세,가을,3,제네시스,소형,True,462400000,56399524,6,부산광역시,0.582,1,4.333,13.33,주말,269334341
1982-09-08,남,vip,픽업트럭,G80 (RG3),2024-11-28,81900000,3,5,1,충청북도 청주시 상당구 낙실동,43,36~50세,가을,3,제네시스,트럭,True,232260000,56854783,3,충청북도,0.731,1,3.5,11.83,평일,169881048
1997-09-02,남,vip,중형 suv,Santa-Fe ™,2023-07-13,62020000,1,4,1,광주광역시 서구 치평동,28,26~35세,여름,3,현대,SUV,True,354650000,60506667,3,광주광역시,0.893,1,20.3,-19.2,평일,316873561
1997-06-02,여,신규,픽업트럭,G80 (RG3),2023-07-07,79780000,1,4,0,광주광역시 서구 치평동,28,26~35세,여름,1,제네시스,트럭,True,434430000,60506667,4,광주광역시,1.094,1,20.5,-0.2,평일,475472816
1971-03-05,남,일반,소형 해치백,NEXO (FE),2025-02-21,79430000,2,3,0,울산광역시 남구 달동,54,51~65세,겨울,2,기아,소형,True,541480000,60935000,4,울산광역시,1.023,1,0.667,5.13,평일,554003081
1956-02-23,여,일반,준대형 세단,Santa-Fe ™,2025-02-23,30270000,3,3,0,서울특별시 종로구 청운동,69,66세 이상,겨울,2,현대,중형,True,664180000,56644400,6,서울특별시,1.255,0,0.6,10.83,주말,833525569
1986-02-12,남,이탈가능,준대형 세단,Avante (CN7 N),2024-08-14,32780000,2,5,0,부산광역시 해운대구 우동,39,36~50세,여름,0,현대,중형,True,495180000,56399524,2,부산광역시,1.559,0,7.033,-2.7,평일,772186634
1963-11-23,여,vip,중형 suv,Santa-Fe ™,2023-12-27,49320000,1,2,0,충청북도 청주시 상당구 낙실동,62,51~65세,겨울,3,현대,SUV,True,281580000,56854783,2,충청북도,0.355,1,14.733,-11.23,평일,99875666
2000-03-31,남,이탈가능,중형 suv,G80 (RG3),2024-11-05,76660000,1,4,1,인천광역시 남동구 구월동,25,20대 이하,가을,0,제네시스,SUV,True,283660000,58025294,1,인천광역시,0.715,1,4.267,-0.77,평일,202713314
1983-12-18,남,이탈가능,준대형 세단,G70 (IK),2024-07-01,85860000,2,2,0,경기도 성남시 분당구 정자동,42,36~50세,여름,0,제네시스,중형,True,373210000,58401053,0,경기도,0.47,1,8.5,10.3,평일,175453738
1988-04-18,남,이탈가능,소형 해치백,Avante (CN7 N),2024-01-23,88130000,1,5,0,인천광역시 남동구 구월동,37,36~50세,겨울,0,현대,소형,True,371790000,58025294,1,인천광역시,1.171,1,13.833,-9.57,평일,435302837
1975-03-27,여,vip,준대형 세단,Santa-Fe ™,2023-10-01,79770000,1,2,1,경기도 수원시 영통구 원천동,50,36~50세,가을,3,현대,중형,True,485770000,61066154,6,경기도,0.612,1,17.633,2.87,주말,297246987
1984-05-24,남,신규,중형 suv,G80 (RG3),2025-02-05,74040000,3,1,1,광주광역시 서구 치평동,41,36~50세,겨울,1,제네시스,SUV,True,508470000,60506667,2,광주광역시,0.32,1,1.2,19.3,평일,162838373
1999-11-25,남,일반,준중형 세단,Santa-Fe ™,2024-11-04,54940000,1,2,0,경상북도 포항시 남구 대도동,26,26~35세,가을,2,현대,소형,True,373570000,56614375,0,경상북도,0.471,1,4.3,5.0,평일,175792388
1987-11-12,여,일반,중형 suv,NEXO (FE),2024-01-16,72840000,2,2,1,충청남도 천안시 동남구 성성동,38,36~50세,겨울,2,기아,SUV,True,394870000,48790714,1,충청남도,0.497,1,14.067,4.77,평일,196410346
1977-06-26,남,일반,중형 suv,G80 (RG3),2023-06-18,57850000,3,1,1,광주광역시 서구 치평동,48,36~50세,여름,2,제네시스,SUV,True,566320000,60506667,6,광주광역시,0.357,1,21.133,-19.93,주말,201999309
1987-05-31,남,신규,픽업트럭,NEXO (FE),2023-08-16,57310000,1,2,0,울산광역시 남구 달동,38,36~50세,여름,1,기아,트럭,True,598790000,60935000,2,울산광역시,0.754,1,19.167,-18.5,평일,451653269
1981-08-17,남,신규,준대형 세단,Avante (CN7 N),2024-11-30,45700000,3,4,1,대구광역시 수성구 범어동,44,36~50세,가을,1,현대,중형,True,456500000,58729444,5,대구광역시,1.15,1,3.433,10.9,주말,525010077
1991-07-10,남,vip,준중형 세단,Santa-Fe ™,2024-12-05,41850000,1,2,1,경상남도 창원시 의창구 봉곡동,34,26~35세,겨울,3,현대,소형,True,291710000,58702308,3,경상남도,0.367,1,3.267,2.6,평일,107191097
1994-04-30,여,일반,중형 suv,G70 (IK),2024-11-18,87840000,2,1,0,대전광역시 유성구 봉명동,31,26~35세,가을,2,제네시스,SUV,True,269660000,56525385,0,대전광역시,0.17,1,3.833,11.17,평일,45799332
1980-02-20,남,일반,준중형 세단,Avante (CN7 N),2024-08-31,84100000,2,3,0,부산광역시 해운대구 우동,45,36~50세,여름,2,현대,소형,True,579280000,56399524,5,부산광역시,1.095,1,6.467,0.57,주말,634051316
1989-05-27,여,일반,대형 suv,NEXO (FE),2023-04-27,82050000,1,5,1,경상북도 포항시 남구 대도동,36,36~50세,봄,2,기아,SUV,True,455620000,56614375,3,경상북도,1.435,1,22.867,-18.57,평일,653734866
1969-11-21,여,이탈가능,중형 suv,G70 (IK),2023-08-19,60860000,1,5,1,경기도 수원시 영통구 원천동,56,51~65세,여름,0,제네시스,SUV,True,546630000,61066154,5,경기도,1.721,1,19.067,-1.43,주말,940985680
1966-09-01,여,vip,중형 suv,Santa-Fe ™,2023-05-29,71220000,3,4,1,대전광역시 유성구 봉명동,59,51~65세,봄,3,현대,SUV,True,340880000,56525385,0,대전광역시,0.859,1,21.8,-17.97,평일,292744752
1966-11-27,남,이탈가능,준대형 세단,G70 (IK),2024-03-21,33690000,2,4,0,대구광역시 수성구 범어동,59,51~65세,봄,0,제네시스,중형,True,490190000,58729444,3,대구광역시,1.235,0,11.9,-8.47,평일,605361742
1981-02-16,여,신규,픽업트럭,NEXO (FE),2025-01-31,37190000,2,4,1,울산광역시 남구 달동,44,36~50세,겨울,1,기아,트럭,True,635980000,60935000,4,울산광역시,1.602,0,1.367,17.8,평일,1018997205
1996-12-16,남,신규,픽업트럭,G70 (IK),2024-12-06,36260000,2,5,1,인천광역시 남동구 구월동,29,26~35세,겨울,1,제네시스,트럭,True,408050000,58025294,4,인천광역시,1.285,0,3.233,10.6,평일,524351909
1999-04-19,여,vip,소형 해치백,Santa-Fe ™,2023-04-22,55710000,1,2,0,서울특별시 강남구 역삼동,26,26~35세,봄,3,현대,소형,True,200760000,63893125,5,서울특별시,0.253,1,23.033,-7.37,주말,50770385
1980-03-19,여,일반,소형 해치백,G70 (IK),2023-04-22,59060000,2,1,1,대전광역시 유성구 봉명동,45,36~50세,봄,2,제네시스,소형,True,399940000,56525385,5,대전광역시,0.252,1,23.033,-1.23,주말,100743206
